geoid10,landareasqm,waterareasqm,intptlat10,intptlon10,historicalgrizzlyrange,disttocurrentgrizzlyrangem,dev_share,crop_share,pasture_share,gasslands_share,startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,q_recaptchascore,q_ballotboxstuffing,state,q27,q29,q1,q2,q3,q35,q54_1,q54_2,q54_3,q28_1,q28_2,q28_3,q3645,q20,q32,q21,q22,q23,q25,q24,q26,q3654,q30,q31,q34,opp,transaction_id,svid,rid,risn,gc,term,region,ls,ps
17872,105062488,968355,40.793858,-76.544479,0,2636673,.079999998,.059999999,.02,.0099999998,2023-05-30T11:06:07Z,2023-05-30T11:09:13Z,IP Address,174.247.80.23,100,185,TRUE,2023-05-30T11:09:14Z,R_1f1ybaQ6B6uK6yg,NA,NA,NA,NA,39.886799,-75.287598,anonymous,EN,1,NA,Pennsylvania,35 to 44 years,Male,Very important,Very informed,Very informed,NA,5+,5+,5+,3,Unlimited (never remove),5+,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Less than high school,Very conservative,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],0CpsYCeN4nJKUvZVeW0vsm,15954811,NA,NA,1,NA,National,{Invalid Expression},696
17930,7920120,0,40.708675,-76.115349,0,2678369,0,0,0,0,2023-05-30T08:15:28Z,2023-05-30T08:21:23Z,IP Address,24.153.47.9,100,354,TRUE,2023-05-30T08:21:23Z,R_3kLMO7iUWBOR87X,NA,NA,NA,NA,41.0788,-75.7705,anonymous,EN,0.800000011920929,NA,Pennsylvania,45 to 54 years,Female,Very important,Informed,Informed,NA,5+,1,1,Unlimited (never remove),3,1,Decrease (more strict) thresholds,11 to 15 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],6Pc1fK0iDGIP49CCuN0Xcn,15954811,NA,NA,1,NA,National,{Invalid Expression},696
18018,13371189,364895,40.627594,-75.395584,0,2738711,.92000002,0,0,0,2023-05-30T09:03:06Z,2023-05-30T09:07:28Z,IP Address,168.91.136.30,100,261,TRUE,2023-05-30T09:07:28Z,R_3lyll5YF5NfEg5H,NA,NA,NA,NA,40.6366,-75.440498,anonymous,EN,0.8999999761581421,NA,Pennsylvania,25 to 34 years,Female,Very important,Not informed at all,Not informed at all,NA,5+,3,1,5+,2,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Liberal,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],0K8frOE6GYk3ovuZOdI29g,15954811,NA,NA,1,NA,National,{Invalid Expression},696
18055,55516087,580417,40.591583,-75.304352,0,2747785,.090000004,.050000001,.11,.02,2023-05-30T08:54:23Z,2023-05-30T09:01:21Z,IP Address,70.15.6.124,100,418,TRUE,2023-05-30T09:01:23Z,R_rjtVvC21mMWNvAR,NA,NA,NA,NA,40.577702,-75.325104,anonymous,EN,1,NA,Pennsylvania,45 to 54 years,Female,Slightly important,Not informed at all,Not informed at all,NA,5+,4,1,4,4,2,Increase (more lenient) thresholds,No visits in past five years,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Very conservative,"$200,000 or more",Qual37847-0505-GrizzlyBears-[BM],1VrpAskMabJUyT53SDtAHr,15954811,NA,NA,1,NA,National,{Invalid Expression},696
18707,128802743,1284180,41.13575,-75.933502,0,2677879,.16,0,0,0,2023-05-30T10:01:03Z,2023-05-30T10:04:28Z,IP Address,166.196.103.5,100,204,TRUE,2023-05-30T10:04:29Z,R_1jd33KnVKWHNmaR,NA,NA,NA,NA,39.979198,-75.127899,anonymous,EN,0.800000011920929,NA,Pennsylvania,25 to 34 years,Male,Not important at all,Not informed at all,Not informed at all,NA,3,1,1,3,1,1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],3Yt6eWmhBUyEFz000eTFaT,15954811,NA,NA,1,NA,National,{Invalid Expression},696
18940,84640806,558924,40.260593,-74.937073,0,2788356,.23999999,.07,.13,.02,2023-05-30T08:52:53Z,2023-05-30T09:00:13Z,IP Address,73.188.10.75,100,440,TRUE,2023-05-30T09:00:14Z,R_0ig2sDNQjivsLpD,NA,NA,NA,NA,40.2673,-74.9487,anonymous,EN,1,NA,Pennsylvania,65 to 74 years,Male,Important,Slightly informed,Slightly informed,NA,3,1,1,3,2,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],0TFr3HUEYbUoBerFwSszHK,15954811,NA,NA,1,NA,National,{Invalid Expression},696
18974,49403238,264695,40.21706,-75.0728,0,2780220,.74000001,.02,.02,0,2023-05-30T08:17:55Z,2023-05-30T08:24:04Z,IP Address,50.217.98.143,100,368,TRUE,2023-05-30T08:24:05Z,R_XUow35rNhiQXCRH,NA,NA,NA,NA,39.966801,-75.151199,anonymous,EN,1,NA,Pennsylvania,35 to 44 years,Male,Slightly important,Not informed at all,Not informed at all,NA,3,2,2,2,2,2,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Conservative,"Between $150,000 and $199,999",Qual37847-0505-GrizzlyBears-[BM],6JoTsBpKGZHRnHHSoylKrk,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19023,5172714,0,39.917141,-75.267387,0,2776633,.67000002,0,0,0,2023-05-30T08:21:23Z,2023-05-30T08:25:22Z,IP Address,146.115.245.154,100,239,TRUE,2023-05-30T08:25:23Z,R_3j3DUCYLD6qUUtD,NA,NA,NA,NA,39.9361,-75.262497,anonymous,EN,0.8999999761581421,NA,Pennsylvania,55 to 59 years,Female,Important,Not informed at all,Not informed at all,NA,5+,2,1,5+,2,1,Increase (more lenient) thresholds,No visits in past five years,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],3abh3q8u2yLUkyKi8WUxe7,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19043,1019911,0,39.900311,-75.308853,0,2774009,1,0,0,0,2023-05-30T11:06:27Z,2023-05-30T11:10:32Z,IP Address,98.114.46.251,100,245,TRUE,2023-05-30T11:10:33Z,R_21txlVUNMAg3YJX,NA,NA,NA,NA,39.9207,-75.267403,anonymous,EN,0.8999999761581421,NA,Pennsylvania,35 to 44 years,Male,Slightly important,Not informed at all,Not informed at all,NA,5+,3,1,5+,3,1,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Moderate,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],3Ec2Y1i5MEbLaV8Gqk0IF8,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19047,45324789,1177114,40.180447,-74.912453,0,2794527,.5,.02,0,0,2023-05-30T08:32:17Z,2023-05-30T08:40:25Z,IP Address,68.84.112.32,100,488,TRUE,2023-05-30T08:40:26Z,R_1DnVNorl9cH5OdP,NA,NA,NA,NA,40.182999,-74.911003,anonymous,EN,1,NA,Pennsylvania,65 to 74 years,Female,Very important,Not informed at all,Not informed at all,NA,5+,5+,5+,Unlimited (never remove),Unlimited (never remove),Unlimited (never remove),Increase (more lenient) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Conservative,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],5CNOU6ZRfHRVEgrH5ykWad,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19124,12627433,88930,40.01712,-75.092812,0,2786502,1,0,0,0,2023-05-30T08:32:53Z,2023-05-30T08:35:43Z,IP Address,172.58.204.137,100,170,TRUE,2023-05-30T08:35:44Z,R_2Ec8GeUg8m0PCEG,NA,NA,NA,NA,39.947601,-75.1474,anonymous,EN,1,NA,Pennsylvania,35 to 44 years,Male,Very important,Slightly informed,Slightly informed,NA,5+,3,5+,Unlimited (never remove),Unlimited (never remove),Unlimited (never remove),Do not change thresholds,6 to 10 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Liberal,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],3ilRwNsg9T1SwH2iSNkgDL,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19131,13667702,895004,39.990185,-75.217796,0,2777701,.81999999,0,0,0,2023-05-30T08:14:21Z,2023-05-30T08:19:22Z,IP Address,69.242.71.158,100,301,TRUE,2023-05-30T08:19:23Z,R_2R4cvyJAf8aMxgx,NA,NA,NA,NA,39.984299,-75.226601,anonymous,EN,0.8999999761581421,NA,Pennsylvania,75 to 84 years,Female,Very important,Slightly informed,Slightly informed,NA,5+,3,2,5+,4,2,Increase (more lenient) thresholds,1 to 5 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Very liberal,"Between $50,000 and $64,999",Qual37847-0505-GrizzlyBears-[BM],0F2eKp4xuSmiu9Ul9lkQGU,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19132,5605811,0,39.996262,-75.170853,0,2781142,1,0,0,0,2023-05-30T08:28:26Z,2023-05-30T08:35:26Z,IP Address,24.126.11.83,100,419,TRUE,2023-05-30T08:35:26Z,R_1jUs7Ile8KJBSsv,NA,NA,NA,NA,38.894001,-77.036499,anonymous,EN,0.8999999761581421,NA,Pennsylvania,25 to 34 years,Female,Very important,Slightly informed,Slightly informed,NA,3,2,4,3,2,4,Decrease (more strict) thresholds,1 to 5 times,Agree,1 to 5 times,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],6Q17OoCGE4mTJulQsQS5WA,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19132,5605811,0,39.996262,-75.170853,0,2781142,1,0,0,0,2023-05-30T08:51:18Z,2023-05-30T08:56:18Z,IP Address,70.20.217.20,100,300,TRUE,2023-05-30T08:56:18Z,R_1jHunqfIzGnTv7w,NA,NA,NA,NA,39.9664,-75.168503,anonymous,EN,1,NA,Pennsylvania,65 to 74 years,Male,Very important,Not informed at all,Not informed at all,NA,3,2,1,4,2,1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],542WpJgmlYvGecjwNPD3UG,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19138,4462092,0,40.056004,-75.15905,0,2779695,1,0,0,0,2023-05-30T09:35:58Z,2023-05-30T09:41:47Z,IP Address,72.86.164.246,100,348,TRUE,2023-05-30T09:41:48Z,R_3mh3xmUuGnQrbb3,NA,NA,NA,NA,39.9664,-75.168503,anonymous,EN,1,NA,Pennsylvania,65 to 74 years,Female,Very important,Not informed at all,Not informed at all,NA,2,4,3,3,3,1,Increase (more lenient) thresholds,1 to 5 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Associate degree,Liberal,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],18uivknzcYpTH2Df17hN0x,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19141,4696237,0,40.037575,-75.145699,0,2781493,.60000002,0,0,0,2023-05-30T09:09:42Z,2023-05-30T09:13:25Z,IP Address,174.173.97.41,100,223,TRUE,2023-05-30T09:13:26Z,R_2vcemNBpv3uVtJH,NA,NA,NA,NA,39.954399,-75.165703,anonymous,EN,0.8999999761581421,NA,Pennsylvania,25 to 34 years,Male,Important,Not informed at all,Not informed at all,NA,4,5+,5+,2,3,4,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],2NRYiI55453ZotFwEc064V,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19143,8239406,167424,39.942577,-75.225906,0,2778858,.88999999,0,.11,0,2023-05-30T09:01:01Z,2023-05-30T09:05:57Z,IP Address,73.30.22.67,100,295,TRUE,2023-05-30T09:05:57Z,R_zZK7ICQCTvcWTZf,NA,NA,NA,NA,39.961201,-75.230301,anonymous,EN,1,NA,Pennsylvania,35 to 44 years,Female,Very important,Informed,Informed,NA,3,4,2,5+,3,4,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Liberal,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],6dmjurwUYAVEYAff5LNDz5,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19144,8892797,35899,40.033859,-75.174072,0,2779344,.88999999,0,0,0,2023-05-30T08:25:58Z,2023-05-30T08:29:39Z,IP Address,172.58.243.162,100,220,TRUE,2023-05-30T08:29:40Z,R_1o6VjpZW0QJ7Nhw,NA,NA,NA,NA,39.036999,-77.041199,anonymous,EN,0.8999999761581421,NA,Pennsylvania,60 to 64 years,Female,Very important,Not informed at all,Not informed at all,NA,3,3,3,3,3,3,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],5bWUNLdpPUhDKLvfTzbsdm,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19565,49447154,1117682,40.342506,-76.088242,0,2694574,.2,.16,.12,0,2023-05-30T08:50:07Z,2023-05-30T08:56:06Z,IP Address,24.152.194.77,100,359,TRUE,2023-05-30T08:56:07Z,R_dgLnUm7vghgfM3v,NA,NA,NA,NA,40.079399,-76.314102,anonymous,EN,0.8999999761581421,NA,Pennsylvania,75 to 84 years,Female,Slightly important,Not informed at all,Not informed at all,NA,3,3,3,1,1,1,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Very conservative,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],4JxszZextjHWGCQRj2yQd9,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19611,5242095,89070,40.324673,-75.942856,0,2706850,1,0,0,0,2023-05-30T08:58:51Z,2023-05-30T09:02:06Z,IP Address,174.235.188.157,100,195,TRUE,2023-05-30T09:02:08Z,R_3n0MvHM552nspk0,NA,NA,NA,NA,39.9203,-75.110802,anonymous,EN,0.8999999761581421,NA,Pennsylvania,45 to 54 years,Female,Very important,Slightly informed,Not informed at all,NA,3,4,5+,1,5+,5+,Increase (more lenient) thresholds,1 to 5 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],3xemt8c2LeBP2YYdvae05A,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19711,70921065,6054,39.713596,-75.741074,0,2747254,.44,.0099999998,.039999999,0,2023-05-25T12:07:42Z,2023-05-25T12:16:06Z,IP Address,74.103.131.96,100,503,TRUE,2023-05-25T12:16:06Z,R_SZELd7pzzJxrqKt,NA,NA,NA,NA,39.700699,-75.741898,anonymous,EN,1,NA,Delaware,65 to 74 years,Female,Very important,Not informed at all,Not informed at all,NA,3,2,1,2,1,1,Increase (more lenient) thresholds,6 to 10 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Very conservative,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],5s8ArkbwuWHWXSJdTFv7Zu,15954811,NA,NA,1,NA,National,{Invalid Expression},696
19805,13777601,4239,39.743797,-75.593842,0,2757725,.92000002,0,0,0,2023-05-30T09:01:08Z,2023-05-30T09:05:07Z,IP Address,141.151.11.241,100,239,TRUE,2023-05-30T09:05:08Z,R_RbngOtUtC8WmktX,NA,NA,NA,NA,39.7458,-75.581001,anonymous,EN,1,NA,Delaware,18 to 19 years,No Response,Important,Not informed at all,Not informed at all,NA,5+,3,1,Unlimited (never remove),4,2,Do not change thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Very liberal,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],58A85o1MGLAHLMie1sNMrq,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20009,3404357,25630,38.919144,-77.037384,0,2677553,1,0,0,0,2023-05-30T08:32:07Z,2023-05-30T08:36:40Z,IP Address,172.226.142.64,100,272,TRUE,2023-05-30T08:36:41Z,R_1BXhxJzpn04u7vT,NA,NA,NA,NA,38.894001,-77.036499,anonymous,EN,1,NA,District of Columbia,35 to 44 years,Male,Very important,Not informed at all,Not informed at all,NA,3,2,1,5+,3,2,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,NA,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Between $50,000 and $64,999",Qual37847-0505-GrizzlyBears-[BM],15hE1GOcazahqqyJDl3kOw,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20017,5735655,0,38.938461,-76.993164,0,2680339,1,0,0,0,2023-05-30T08:54:22Z,2023-05-30T09:01:04Z,IP Address,172.58.243.204,100,401,TRUE,2023-05-30T09:01:05Z,R_20TAtyMtwcGPXl0,NA,NA,NA,NA,39.036999,-77.041199,anonymous,EN,1,NA,Washington,18 to 19 years,Male,Important,Slightly informed,Informed,NA,2,2,2,2,2,2,Decrease (more strict) thresholds,1 to 5 times,Agree,1 to 5 times,Observed bear from a safe distance,"Yes, 1-2 years",Disagree,Yes,"Neighbor Network (Phone-tree, group text, or email list that gives updates from authorities),Electric Fence",No actions taken have been effective,Some college,Very conservative,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],2QwmtVVElvTuXejbcoDGNL,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20109,52713752,516402,38.79364,-77.531021,0,2643538,.51999998,.02,.15000001,0,2023-05-30T08:37:47Z,2023-05-30T08:44:09Z,IP Address,172.58.242.241,100,382,TRUE,2023-05-30T08:44:10Z,R_3g7uYLJucGxCHw6,NA,NA,NA,NA,38.894001,-77.036499,anonymous,EN,0.8999999761581421,NA,Virginia,45 to 54 years,Male,Very important,Not informed at all,Not informed at all,NA,5+,1,1,Unlimited (never remove),1,1,Increase (more lenient) thresholds,More than 15 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Liberal,"Between $25,000 and $34,999",Qual37847-0505-GrizzlyBears-[BM],7nyttMtBZT90ktkt6IEJRG,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20110,32715799,217791,38.746807,-77.482635,0,2648733,.94,0,0,0,2023-05-30T09:10:54Z,2023-05-30T09:14:56Z,IP Address,108.56.219.27,100,242,TRUE,2023-05-30T09:14:57Z,R_1DLGWSCPCGE8uUi,NA,NA,NA,NA,38.749298,-77.471901,anonymous,EN,1,NA,Virginia,25 to 34 years,Male,Important,Slightly informed,Slightly informed,NA,4,1,2,3,1,2,Decrease (more strict) thresholds,6 to 10 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Moderate,"Between $35,000 and $49,999",Qual37847-0505-GrizzlyBears-[BM],0F4mn2LHAeyupJYH8PhtJx,15905568,NA,NA,1,NA,National,{Invalid Expression},593
20181,152544498,2378933,38.689125,-77.569611,0,2644456,.050000001,.090000004,.25,0,2023-05-30T10:41:05Z,2023-05-30T10:48:24Z,IP Address,138.88.131.6,100,438,TRUE,2023-05-30T10:48:24Z,R_3lLJydU9MkfhiBG,NA,NA,NA,NA,38.7006,-77.547501,anonymous,EN,1,NA,Virginia,75 to 84 years,Male,Slightly important,Slightly informed,Slightly informed,NA,5+,2,1,4,2,1,Do not change thresholds,1 to 5 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],7uiReN1wIytvMOvulTId6I,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20613,195748352,3752168,38.671169,-76.805305,0,2706341,.079999998,.059999999,.050000001,.029999999,2023-05-30T10:03:52Z,2023-05-30T10:06:23Z,IP Address,73.129.50.16,100,151,TRUE,2023-05-30T10:06:24Z,R_24IAMqeT5LkYPYY,NA,NA,NA,NA,38.6273,-76.985901,anonymous,EN,0.8999999761581421,NA,Maryland,60 to 64 years,Male,Slightly important,Slightly informed,Not informed at all,NA,4,3,3,3,4,3,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Moderate,"Between $15,000 and $24,999",Qual37847-0505-GrizzlyBears-[BM],2kUsw9Yv9F75cHrIEzb7VH,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20650,156931723,30912033,38.268654,-76.633156,0,2737771,.07,.18000001,.02,.0099999998,2023-05-30T08:30:30Z,2023-05-30T08:34:02Z,IP Address,72.9.7.76,100,211,TRUE,2023-05-30T08:34:03Z,R_27HxK6eB9K2uMJj,NA,NA,NA,NA,38.276199,-76.635597,anonymous,EN,0.8999999761581421,NA,Maryland,20 to 24 years,Female,Important,Not informed at all,Slightly informed,NA,2,5+,3,2,5+,4,Decrease (more strict) thresholds,No visits in past five years,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"$200,000 or more",Qual37847-0505-GrizzlyBears-[BM],3Knz9ucxA57IDHhoHS4RMA,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20708,36138186,784564,39.048172,-76.824036,0,2688879,.22,0,0,0,2023-05-25T12:09:22Z,2023-05-25T12:14:17Z,IP Address,76.151.153.161,100,295,TRUE,2023-05-25T12:14:17Z,R_aaQVQoX52DdD0fD,NA,NA,NA,NA,39.048801,-76.834297,anonymous,EN,1,NA,Maryland,75 to 84 years,Male,Very important,Informed,Slightly informed,NA,4,2,1,5+,2,1,Do not change thresholds,6 to 10 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Conservative,"Between $100,000 and $149,999",Qual37847-0505-GrizzlyBears-[BM],6aMqZTw6InO94dCtOXjg6U,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20740,20609584,245126,39.002747,-76.931725,0,2682479,.56999999,0,.14,0,2023-05-30T09:32:02Z,2023-05-30T09:37:19Z,IP Address,100.15.122.134,100,317,TRUE,2023-05-30T09:37:20Z,R_1NCIqHseQcqMHb3,NA,NA,NA,NA,39.001301,-76.888,anonymous,EN,0.8999999761581421,NA,Maryland,65 to 74 years,Male,Important,Slightly informed,Slightly informed,NA,5+,3,2,3,2,1,Increase (more lenient) thresholds,6 to 10 times,Agree,1 to 5 times,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Some college,Conservative,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],0nuAnshLc9Jx8e2Tz5C9ry,15954811,NA,NA,1,NA,National,{Invalid Expression},696
20878,56748974,1011570,39.112637,-77.250435,0,2652181,.56,.02,.029999999,0,2023-05-30T09:11:41Z,2023-05-30T09:18:14Z,IP Address,73.87.31.15,100,393,TRUE,2023-05-30T09:18:15Z,R_3fPr7sn0Mf8yGaZ,NA,NA,NA,NA,39.1339,-77.410301,anonymous,EN,1,NA,Maryland,65 to 74 years,Female,Very important,Informed,Slightly informed,NA,3,1,1,1,1,1,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Bachelor degree,Moderate,"Between $65,000 and $74,999",Qual37847-0505-GrizzlyBears-[BM],2sm5OAOF2qo2xhUqKVFHid,15954811,NA,NA,1,NA,National,{Invalid Expression},696
21040,20634295,2989201,39.436626,-76.289757,0,2714766,.54000002,0,0,0,2023-05-30T09:06:39Z,2023-05-30T09:14:16Z,IP Address,68.134.67.199,100,456,TRUE,2023-05-30T09:14:16Z,R_2YmhmHM3t2oY9Gm,NA,NA,NA,NA,39.426899,-76.309402,anonymous,EN,1,NA,Maryland,60 to 64 years,Female,Very important,Not informed at all,Slightly informed,NA,5+,5+,3,1,1,1,Do not change thresholds,6 to 10 times,Agree,1 to 5 times,Observed bear from a safe distance,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,High school graduate,Conservative,"Between $75,000 and $99,999",Qual37847-0505-GrizzlyBears-[BM],5zLjsJNUuNlNYnRr95D0Sy,15954811,NA,NA,1,NA,National,{Invalid Expression},696
21044,31076730,261697,39.205273,-76.878738,0,2677245,.52999997,0,0,0,2023-05-30T10:25:10Z,2023-05-30T10:34:42Z,IP Address,73.213.207.196,100,571,TRUE,2023-05-30T10:34:43Z,R_V43VN3nCM5UWGAh,NA,NA,NA,NA,39.388599,-77.168297,anonymous,EN,0.8999999761581421,NA,Maryland,45 to 54 years,Male,Important,Slightly informed,Slightly informed,NA,1,5+,5+,2,4,4,Do not change thresholds,More than 15 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Very conservative,"$200,000 or more",Qual37847-0505-GrizzlyBears-[BM],3eoGairoFiWvgcr9fPdQi2,15954811,NA,NA,1,NA,National,{Invalid Expression},696
21045,25138585,244074,39.206043,-76.828232,0,2681917,.76999998,0,0,0,2023-05-30T08:51:32Z,2023-05-30T08:54:05Z,IP Address,172.111.36.73,100,152,TRUE,2023-05-30T08:54:05Z,R_SVJud21vTT6Yx8J,NA,NA,NA,NA,33.748501,-84.3871,anonymous,EN,0.800000011920929,NA,Maryland,20 to 24 years,Female,Not important at all,Not informed at all,Not informed at all,NA,1,1,1,1,1,1,Decrease (more strict) thresholds,1 to 5 times,Agree,No visits in past five years,No experience,"No, I do not and have not ever lived in this area.",NA,NA,NA,NA,Graduate Degree,Moderate,"Under $15,000",Qual37847-0505-GrizzlyBears-[BM],2rVs0WYVHOIZowjbspADLK,15954811,NA,NA,1,NA,National,{Invalid Expression},696
